date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:15:29	98255/98255	---M-Z	200	added ('OK')	text/css	etag:W/%2217fcf-nuSWzJuqrli5jn/B60bjV42vgUM%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.3/font/bootstrap-icons.css	/Users/ravindrapal/websites/aaaa/cdn.jsdelivr.net/npm/bootstrap-icons@1.11.3/font/bootstrap-icons.css	(from https://www.technorizen.com/)
10:15:29	68028/68028	---MCZ	200	added ('OK')	text/css	date:Wed,%2026%20Aug%202026%2000:42:22%20GMT	https://unpkg.com/boxicons@2.1.4/css/boxicons.min.css	/Users/ravindrapal/websites/aaaa/unpkg.com/boxicons@2.1.4/css/boxicons.min.css	(from https://www.technorizen.com/)
10:15:29	147172/147172	---M-Z	200	added ('OK')	text/css	etag:%228df1dfa3fe4f86e960f7462a24003de9%22	https://cdn-uicons.flaticon.com/uicons-regular-rounded/css/uicons-regular-rounded.css	/Users/ravindrapal/websites/aaaa/cdn-uicons.flaticon.com/uicons-regular-rounded/css/uicons-regular-rounded.css	(from https://www.technorizen.com/)
10:15:30	4745/4745	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Sep%202026%2004:45:30%20GMT	https://www.technorizen.com/cdn-cgi/l/email-protection	/Users/ravindrapal/websites/aaaa/www.technorizen.com/cdn-cgi/l/email-protection	(from https://www.technorizen.com/)
10:15:30	15328/15328	---M--	200	added ('OK')	image/png	date:Sat,%2020%20Jun%202026%2004:39:52%20GMT	https://www.technorizen.com/public/html/web/images/logo.png	/Users/ravindrapal/websites/aaaa/www.technorizen.com/public/html/web/images/logo.png	(from https://www.technorizen.com/)
10:15:31	58312/58312	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Sep%202026%2004:45:31%20GMT	https://www.technorizen.com/ai-development	/Users/ravindrapal/websites/aaaa/www.technorizen.com/ai-development.html	(from https://www.technorizen.com/)
10:15:32	53998/53998	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Sep%202026%2004:45:31%20GMT	https://www.technorizen.com/agentic-ai-development	/Users/ravindrapal/websites/aaaa/www.technorizen.com/agentic-ai-development.html	(from https://www.technorizen.com/)
10:15:32	44038/44038	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Sep%202026%2004:45:32%20GMT	https://www.technorizen.com/ai-agent-development	/Users/ravindrapal/websites/aaaa/www.technorizen.com/ai-agent-development.html	(from https://www.technorizen.com/)
10:15:32	48772/48772	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Sep%202026%2004:45:32%20GMT	https://www.technorizen.com/generative-ai-development	/Users/ravindrapal/websites/aaaa/www.technorizen.com/generative-ai-development.html	(from https://www.technorizen.com/)
10:15:33	48781/48781	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Sep%202026%2004:45:33%20GMT	https://www.technorizen.com/ai-powered-mobile-app-development	/Users/ravindrapal/websites/aaaa/www.technorizen.com/ai-powered-mobile-app-development.html	(from https://www.technorizen.com/)
10:15:33	48815/48815	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Sep%202026%2004:45:33%20GMT	https://www.technorizen.com/ai-chatbot-development-company	/Users/ravindrapal/websites/aaaa/www.technorizen.com/ai-chatbot-development-company.html	(from https://www.technorizen.com/)
10:15:33	54836/54836	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Sep%202026%2004:45:33%20GMT	https://www.technorizen.com/ai-consulting	/Users/ravindrapal/websites/aaaa/www.technorizen.com/ai-consulting.html	(from https://www.technorizen.com/)
10:15:34	57104/57104	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Sep%202026%2004:45:34%20GMT	https://www.technorizen.com/generative-ai-consulting	/Users/ravindrapal/websites/aaaa/www.technorizen.com/generative-ai-consulting.html	(from https://www.technorizen.com/)
10:15:34	57229/57229	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Sep%202026%2004:45:34%20GMT	https://www.technorizen.com/azure-ai-consulting	/Users/ravindrapal/websites/aaaa/www.technorizen.com/azure-ai-consulting.html	(from https://www.technorizen.com/)
10:15:34	46579/46579	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Sep%202026%2004:45:34%20GMT	https://www.technorizen.com/prompt-engineering	/Users/ravindrapal/websites/aaaa/www.technorizen.com/prompt-engineering.html	(from https://www.technorizen.com/)
10:15:35	45884/45884	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Sep%202026%2004:45:35%20GMT	https://www.technorizen.com/ml-development	/Users/ravindrapal/websites/aaaa/www.technorizen.com/ml-development.html	(from https://www.technorizen.com/)
10:15:35	45591/45591	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Sep%202026%2004:45:35%20GMT	https://www.technorizen.com/llm-development	/Users/ravindrapal/websites/aaaa/www.technorizen.com/llm-development.html	(from https://www.technorizen.com/)
10:15:35	45690/45690	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Sep%202026%2004:45:35%20GMT	https://www.technorizen.com/rag-development	/Users/ravindrapal/websites/aaaa/www.technorizen.com/rag-development.html	(from https://www.technorizen.com/)
10:15:36	45766/45766	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Sep%202026%2004:45:36%20GMT	https://www.technorizen.com/generative-ai-integration	/Users/ravindrapal/websites/aaaa/www.technorizen.com/generative-ai-integration.html	(from https://www.technorizen.com/)
10:15:36	45912/45912	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Sep%202026%2004:45:36%20GMT	https://www.technorizen.com/artificial-intelligence-automation	/Users/ravindrapal/websites/aaaa/www.technorizen.com/artificial-intelligence-automation.html	(from https://www.technorizen.com/)
10:15:37	45752/45752	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Sep%202026%2004:45:36%20GMT	https://www.technorizen.com/workflow-automation-services	/Users/ravindrapal/websites/aaaa/www.technorizen.com/workflow-automation-services.html	(from https://www.technorizen.com/)
10:15:37	46098/46098	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Sep%202026%2004:45:37%20GMT	https://www.technorizen.com/ai-workflow-automation-services	/Users/ravindrapal/websites/aaaa/www.technorizen.com/ai-workflow-automation-services.html	(from https://www.technorizen.com/)
10:15:37	45670/45670	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Sep%202026%2004:45:37%20GMT	https://www.technorizen.com/low-code-development	/Users/ravindrapal/websites/aaaa/www.technorizen.com/low-code-development.html	(from https://www.technorizen.com/)
10:15:38	45500/45500	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Sep%202026%2004:45:38%20GMT	https://www.technorizen.com/no-code-development	/Users/ravindrapal/websites/aaaa/www.technorizen.com/no-code-development.html	(from https://www.technorizen.com/)
10:15:38	45964/45964	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Sep%202026%2004:45:38%20GMT	https://www.technorizen.com/vibe-coding-development	/Users/ravindrapal/websites/aaaa/www.technorizen.com/vibe-coding-development.html	(from https://www.technorizen.com/)
10:15:38	55582/55582	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Sep%202026%2004:45:38%20GMT	https://www.technorizen.com/ai-staffing	/Users/ravindrapal/websites/aaaa/www.technorizen.com/ai-staffing.html	(from https://www.technorizen.com/)
10:15:39	45121/45121	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Sep%202026%2004:45:38%20GMT	https://www.technorizen.com/about	/Users/ravindrapal/websites/aaaa/www.technorizen.com/about.html	(from https://www.technorizen.com/)
10:15:39	39543/39543	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Sep%202026%2004:45:39%20GMT	https://www.technorizen.com/contact	/Users/ravindrapal/websites/aaaa/www.technorizen.com/contact.html	(from https://www.technorizen.com/)
10:15:39	65037/65037	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Sep%202026%2004:45:39%20GMT	https://www.technorizen.com/web-development	/Users/ravindrapal/websites/aaaa/www.technorizen.com/web-development.html	(from https://www.technorizen.com/)
10:15:40	76488/76488	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Sep%202026%2004:45:40%20GMT	https://www.technorizen.com/mobile-app-development	/Users/ravindrapal/websites/aaaa/www.technorizen.com/mobile-app-development.html	(from https://www.technorizen.com/)
10:15:40	61291/61291	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Sep%202026%2004:45:40%20GMT	https://www.technorizen.com/blockchain-development	/Users/ravindrapal/websites/aaaa/www.technorizen.com/blockchain-development.html	(from https://www.technorizen.com/)
10:15:40	62709/62709	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Sep%202026%2004:45:40%20GMT	https://www.technorizen.com/it-software-consultancy	/Users/ravindrapal/websites/aaaa/www.technorizen.com/it-software-consultancy.html	(from https://www.technorizen.com/)
10:15:41	66680/66680	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Sep%202026%2004:45:41%20GMT	https://www.technorizen.com/ui-ux-design	/Users/ravindrapal/websites/aaaa/www.technorizen.com/ui-ux-design.html	(from https://www.technorizen.com/)
10:15:41	58811/58811	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Sep%202026%2004:45:41%20GMT	https://www.technorizen.com/ecommerce-development	/Users/ravindrapal/websites/aaaa/www.technorizen.com/ecommerce-development.html	(from https://www.technorizen.com/)
10:15:41	57953/57953	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Sep%202026%2004:45:41%20GMT	https://www.technorizen.com/devops-development	/Users/ravindrapal/websites/aaaa/www.technorizen.com/devops-development.html	(from https://www.technorizen.com/)
10:15:42	64406/64406	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Sep%202026%2004:45:42%20GMT	https://www.technorizen.com/ai-ml-development	/Users/ravindrapal/websites/aaaa/www.technorizen.com/ai-ml-development.html	(from https://www.technorizen.com/)
10:15:42	44959/44959	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Sep%202026%2004:45:42%20GMT	https://www.technorizen.com/hire-professionals	/Users/ravindrapal/websites/aaaa/www.technorizen.com/hire-professionals.html	(from https://www.technorizen.com/)
10:15:42	50184/50184	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Sep%202026%2004:45:42%20GMT	https://www.technorizen.com/work	/Users/ravindrapal/websites/aaaa/www.technorizen.com/work.html	(from https://www.technorizen.com/)
10:15:43	49735/49735	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Sep%202026%2004:45:43%20GMT	https://www.technorizen.com/capturing-moments	/Users/ravindrapal/websites/aaaa/www.technorizen.com/capturing-moments.html	(from https://www.technorizen.com/)
10:15:43	44485/44485	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Sep%202026%2004:45:43%20GMT	https://www.technorizen.com/blogs	/Users/ravindrapal/websites/aaaa/www.technorizen.com/blogs.html	(from https://www.technorizen.com/)
10:15:43	7026/7026	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Sep%202026%2004:45:43%20GMT	https://www.technorizen.com/public/html/web/%22https://www.raysteedsinfotech.com/images/Homebanner/banner-bg.webp%22	/Users/ravindrapal/websites/aaaa/www.technorizen.com/public/html/web/_https_/www.raysteedsinfotech.com/images/Homebanner/banner-bg.webp_	(from https://www.technorizen.com/)
10:15:45	327090/327090	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Apr%202026%2009:57:58%20GMT	https://www.technorizen.com/public/html/web/images/banner3.jpg	/Users/ravindrapal/websites/aaaa/www.technorizen.com/public/html/web/images/banner3.jpg	(from https://www.technorizen.com/)
10:15:47	10949879/10949879	---M--	200	added ('OK')	image/gif	date:Thu,%2009%20Apr%202026%2013:50:34%20GMT	https://www.technorizen.com/public/html/web/images/ai.gif	/Users/ravindrapal/websites/aaaa/www.technorizen.com/public/html/web/images/ai.gif	(from https://www.technorizen.com/)
10:15:48	1098909/1098909	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Apr%202026%2009:53:46%20GMT	https://www.technorizen.com/public/html/web/images/banner5.png	/Users/ravindrapal/websites/aaaa/www.technorizen.com/public/html/web/images/banner5.png	(from https://www.technorizen.com/)
10:15:48	507907/507907	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Apr%202026%2009:51:12%20GMT	https://www.technorizen.com/public/html/web/images/banner6.png	/Users/ravindrapal/websites/aaaa/www.technorizen.com/public/html/web/images/banner6.png	(from https://www.technorizen.com/)
10:15:48	560766/560766	---M--	200	added ('OK')	image/webp	date:Wed,%2015%20Apr%202026%2009:50:20%20GMT	https://www.technorizen.com/public/html/web/images/banner7.webp	/Users/ravindrapal/websites/aaaa/www.technorizen.com/public/html/web/images/banner7.webp	(from https://www.technorizen.com/)
10:15:49	24822/24822	---M--	200	added ('OK')	image/webp	date:Fri,%2024%20Apr%202026%2009:47:48%20GMT	https://www.technorizen.com/public/html/web/images/innovations.webp	/Users/ravindrapal/websites/aaaa/www.technorizen.com/public/html/web/images/innovations.webp	(from https://www.technorizen.com/)
10:15:50	24570/24570	---M--	200	added ('OK')	image/webp	date:Fri,%2024%20Apr%202026%2009:47:42%20GMT	https://www.technorizen.com/public/html/web/images/whatwedo.webp	/Users/ravindrapal/websites/aaaa/www.technorizen.com/public/html/web/images/whatwedo.webp	(from https://www.technorizen.com/)
10:15:50	29222/29222	---M--	200	added ('OK')	image/webp	date:Fri,%2010%20Apr%202026%2009:47:40%20GMT	https://www.technorizen.com/public/html/web/images/analytics-shape1.webp	/Users/ravindrapal/websites/aaaa/www.technorizen.com/public/html/web/images/analytics-shape1.webp	(from https://www.technorizen.com/)
10:15:50	1507534/1507534	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Apr%202026%2010:35:42%20GMT	https://www.technorizen.com/public/html/web/images/banner4.png	/Users/ravindrapal/websites/aaaa/www.technorizen.com/public/html/web/images/banner4.png	(from https://www.technorizen.com/)
10:15:51	2597022/2597022	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20Apr%202026%2009:40:26%20GMT	https://www.technorizen.com/public/html/web/images/team2.jpg	/Users/ravindrapal/websites/aaaa/www.technorizen.com/public/html/web/images/team2.jpg	(from https://www.technorizen.com/)
10:15:51	3242/3242	---M--	200	added ('OK')	image/webp	date:Fri,%2024%20Apr%202026%2009:47:40%20GMT	https://www.technorizen.com/public/html/web/images/icon3.webp	/Users/ravindrapal/websites/aaaa/www.technorizen.com/public/html/web/images/icon3.webp	(from https://www.technorizen.com/)
10:15:52	2228/2228	---M--	200	added ('OK')	image/webp	date:Fri,%2024%20Apr%202026%2009:47:40%20GMT	https://www.technorizen.com/public/html/web/images/icon4.webp	/Users/ravindrapal/websites/aaaa/www.technorizen.com/public/html/web/images/icon4.webp	(from https://www.technorizen.com/)
10:15:52	232/232	---M--	200	added ('OK')	image/webp	date:Fri,%2024%20Apr%202026%2009:57:46%20GMT	https://www.technorizen.com/public/html/web/images/icon5.webp	/Users/ravindrapal/websites/aaaa/www.technorizen.com/public/html/web/images/icon5.webp	(from https://www.technorizen.com/)
10:15:53	9822/9822	---M--	200	added ('OK')	image/webp	date:Fri,%2024%20Apr%202026%2009:47:38%20GMT	https://www.technorizen.com/public/html/web/images/1.webp	/Users/ravindrapal/websites/aaaa/www.technorizen.com/public/html/web/images/1.webp	(from https://www.technorizen.com/)
10:15:53	6636/6636	---M--	200	added ('OK')	image/webp	date:Fri,%2024%20Apr%202026%2009:47:38%20GMT	https://www.technorizen.com/public/html/web/images/2.webp	/Users/ravindrapal/websites/aaaa/www.technorizen.com/public/html/web/images/2.webp	(from https://www.technorizen.com/)
10:15:54	13150/13150	---M--	200	added ('OK')	image/webp	date:Fri,%2024%20Apr%202026%2009:47:38%20GMT	https://www.technorizen.com/public/html/web/images/3.webp	/Users/ravindrapal/websites/aaaa/www.technorizen.com/public/html/web/images/3.webp	(from https://www.technorizen.com/)
10:15:55	8710/8710	---M--	200	added ('OK')	image/webp	date:Fri,%2024%20Apr%202026%2009:47:36%20GMT	https://www.technorizen.com/public/html/web/images/4.webp	/Users/ravindrapal/websites/aaaa/www.technorizen.com/public/html/web/images/4.webp	(from https://www.technorizen.com/)
10:15:55	8380/8380	---M--	200	added ('OK')	image/webp	date:Fri,%2024%20Apr%202026%2009:47:36%20GMT	https://www.technorizen.com/public/html/web/images/6.webp	/Users/ravindrapal/websites/aaaa/www.technorizen.com/public/html/web/images/6.webp	(from https://www.technorizen.com/)
10:15:56	7026/7026	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Sep%202026%2004:45:56%20GMT	https://www.technorizen.com/digital-marketing	/Users/ravindrapal/websites/aaaa/www.technorizen.com/digital-marketing	(from https://www.technorizen.com/)
10:15:56	5382/5382	---M--	200	added ('OK')	image/webp	date:Fri,%2024%20Apr%202026%2009:47:36%20GMT	https://www.technorizen.com/public/html/web/images/5.webp	/Users/ravindrapal/websites/aaaa/www.technorizen.com/public/html/web/images/5.webp	(from https://www.technorizen.com/)
10:15:57	535284/535284	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Apr%202026%2009:36:42%20GMT	https://www.technorizen.com/public/html/web/images/image-4.png	/Users/ravindrapal/websites/aaaa/www.technorizen.com/public/html/web/images/image-4.png	(from https://www.technorizen.com/)
10:15:58	550460/550460	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Apr%202026%2009:36:58%20GMT	https://www.technorizen.com/public/html/web/images/image-6.png	/Users/ravindrapal/websites/aaaa/www.technorizen.com/public/html/web/images/image-6.png	(from https://www.technorizen.com/)
10:15:59	444927/444927	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Apr%202026%2009:36:52%20GMT	https://www.technorizen.com/public/html/web/images/image-3.png	/Users/ravindrapal/websites/aaaa/www.technorizen.com/public/html/web/images/image-3.png	(from https://www.technorizen.com/)
10:15:59	491184/491184	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Apr%202026%2009:37:06%20GMT	https://www.technorizen.com/public/html/web/images/image-8.png	/Users/ravindrapal/websites/aaaa/www.technorizen.com/public/html/web/images/image-8.png	(from https://www.technorizen.com/)
10:16:00	1239/1239	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2021%20Sep%202026%2004:46:00%20GMT	https://www.technorizen.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	/Users/ravindrapal/websites/aaaa/www.technorizen.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://www.technorizen.com/)
10:16:00	7570/7570	---M--	200	added ('OK')	image/webp	date:Fri,%2024%20Apr%202026%2010:06:24%20GMT	https://www.technorizen.com/public/html/web/images/integrations-line.webp	/Users/ravindrapal/websites/aaaa/www.technorizen.com/public/html/web/images/integrations-line.webp	(from https://www.technorizen.com/)
10:16:01	7248/7248	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2024%20Apr%202026%2009:47:34%20GMT	https://www.technorizen.com/public/html/web/images/vuejs.svg	/Users/ravindrapal/websites/aaaa/www.technorizen.com/public/html/web/images/vuejs.svg	(from https://www.technorizen.com/)
10:16:02	1548/1548	---M--	200	added ('OK')	image/webp	date:Fri,%2024%20Apr%202026%2009:47:34%20GMT	https://www.technorizen.com/public/html/web/images/flutter.webp	/Users/ravindrapal/websites/aaaa/www.technorizen.com/public/html/web/images/flutter.webp	(from https://www.technorizen.com/)
10:16:02	11354/11354	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2024%20Apr%202026%2009:47:32%20GMT	https://www.technorizen.com/public/html/web/images/wordpress.svg	/Users/ravindrapal/websites/aaaa/www.technorizen.com/public/html/web/images/wordpress.svg	(from https://www.technorizen.com/)
10:16:03	1180/1180	---M--	200	added ('OK')	image/webp	date:Fri,%2024%20Apr%202026%2009:47:30%20GMT	https://www.technorizen.com/public/html/web/images/django.webp	/Users/ravindrapal/websites/aaaa/www.technorizen.com/public/html/web/images/django.webp	(from https://www.technorizen.com/)
10:16:03	2650/2650	---M--	200	added ('OK')	image/webp	date:Fri,%2024%20Apr%202026%2009:47:30%20GMT	https://www.technorizen.com/public/html/web/images/Logo_C_sharp.webp	/Users/ravindrapal/websites/aaaa/www.technorizen.com/public/html/web/images/Logo_C_sharp.webp	(from https://www.technorizen.com/)
10:16:04	7755/7755	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2024%20Apr%202026%2009:47:30%20GMT	https://www.technorizen.com/public/html/web/images/mongo-db.svg	/Users/ravindrapal/websites/aaaa/www.technorizen.com/public/html/web/images/mongo-db.svg	(from https://www.technorizen.com/)
10:16:04	29238/29238	---M--	200	added ('OK')	image/webp	date:Sat,%2011%20Apr%202026%2007:29:22%20GMT	https://www.technorizen.com/public/html/web/images/logo.webp	/Users/ravindrapal/websites/aaaa/www.technorizen.com/public/html/web/images/logo.webp	(from https://www.technorizen.com/)
10:16:05	15328/15328	---M--	200	added ('OK')	image/png	date:Sat,%2020%20Jun%202026%2010:02:44%20GMT	https://technorizen.com/wp-assets/assets/images/logo.png	/Users/ravindrapal/websites/aaaa/technorizen.com/wp-assets/assets/images/logo.png	(from https://www.technorizen.com/)
10:16:06	11812/11812	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Apr%202026%2004:59:22%20GMT	https://www.technorizen.com/public/html/web/images/blockchain-icon.png	/Users/ravindrapal/websites/aaaa/www.technorizen.com/public/html/web/images/blockchain-icon.png	(from https://www.technorizen.com/)
10:16:06	46753/46753	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Apr%202026%2005:12:40%20GMT	https://www.technorizen.com/public/html/web/images/Node.js_logo.png	/Users/ravindrapal/websites/aaaa/www.technorizen.com/public/html/web/images/Node.js_logo.png	(from https://www.technorizen.com/)
10:16:07	7026/7026	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Sep%202026%2004:46:07%20GMT	https://www.technorizen.com/public/html/web/%22https://www.raysteedsinfotech.com/images/fintechsubscribe/testimonials-bg.webp%22	/Users/ravindrapal/websites/aaaa/www.technorizen.com/public/html/web/_https_/www.raysteedsinfotech.com/images/fintechsubscribe/testimonials-bg.webp_	(from https://www.technorizen.com/)
10:16:07	3944/3944	---M--	200	added ('OK')	image/png	date:Sat,%2011%20Apr%202026%2009:10:54%20GMT	https://www.technorizen.com/public/html/web/images/google.png	/Users/ravindrapal/websites/aaaa/www.technorizen.com/public/html/web/images/google.png	(from https://www.technorizen.com/)
10:16:08	3180/3180	---M--	200	added ('OK')	image/png	date:Sat,%2011%20Apr%202026%2009:10:36%20GMT	https://www.technorizen.com/public/html/web/images/clutch.png	/Users/ravindrapal/websites/aaaa/www.technorizen.com/public/html/web/images/clutch.png	(from https://www.technorizen.com/)
10:16:09	3842/3842	---M--	200	added ('OK')	image/png	date:Sat,%2011%20Apr%202026%2009:10:52%20GMT	https://www.technorizen.com/public/html/web/images/goodfirms.png	/Users/ravindrapal/websites/aaaa/www.technorizen.com/public/html/web/images/goodfirms.png	(from https://www.technorizen.com/)
10:16:09	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d9d%22	https://code.jquery.com/jquery-3.6.0.min.js	/Users/ravindrapal/websites/aaaa/code.jquery.com/jquery-3.6.0.min.js	(from https://www.technorizen.com/)
10:16:09	80421/80421	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213a25-1yL6mYLaiqSN+IJRuxiX8Twds7k%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/js/bootstrap.bundle.min.js	/Users/ravindrapal/websites/aaaa/cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/js/bootstrap.bundle.min.js	(from https://www.technorizen.com/)
10:16:10	14239/14239	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2023%20Aug%202026%2018:44:41%20GMT	https://unpkg.com/aos@2.3.1/dist/aos.js	/Users/ravindrapal/websites/aaaa/unpkg.com/aos@2.3.1/dist/aos.js	(from https://www.technorizen.com/)
10:16:10	42863/42863	---M-Z	200	added ('OK')	application/javascript	etag:W/%22a76f-O0GzvJVmhQFaNHoiOOcdsp36Dbs%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.min.js	/Users/ravindrapal/websites/aaaa/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.min.js	(from https://www.technorizen.com/)
10:16:11	60841/60841	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2020%20Jun%202026%2010:03:16%20GMT	https://www.technorizen.com/public/chat-widget.js?v=1781949796	/Users/ravindrapal/websites/aaaa/www.technorizen.com/public/chat-widgete7db.js	(from https://www.technorizen.com/)
